name,id,date,text,polarity,retweet,fav,Animesh 
,,,,,,,
serenawilliams,9.68E+17,24-02-2018 21:16,b'#justiceforjalen we ran today for our dear fellow kryptonian who life was sadly taken August\xe2\x80\xa6 https://t.co/ZWfEEvjOGn',-4,65,605,-4
,,,,,,,
serenawilliams,9.67E+17,23-02-2018 14:32,"b""I honestly thought when I had a kid I would finally grow up..... well let's just say I'm still\xe2\x80\xa6 https://t.co/pHdDIxarba""",4,217,2163,0
,,,,,,,
serenawilliams,9.67E+17,22-02-2018 15:07,b'Just posted a photo https://t.co/50QbsOoiSC',0,72,928,0
,,,,,,,
serenawilliams,9.67E+17,22-02-2018 13:59,"b""Ok guys exciting news- I'm getting ready for @TieBreakTens at Madison Square Garden on 5th March. @venuseswilliams\xe2\x80\xa6 https://t.co/bxPHs0hVF8""",4,189,1247,0
,,,,,,,
serenawilliams,9.66E+17,21-02-2018 15:37,b'Just posted a photo https://t.co/eYvi1pPwfb',0,68,634,0
,,,,,,,
serenawilliams,9.66E+17,21-02-2018 04:03,"b'I\'m loving the ice skating. These women are amazing. Am I being selfish by wanting someone to skate to ""let it go""? From frozen?'",4,995,12459,4
,,,,,,,
serenawilliams,9.66E+17,20-02-2018 15:05,"b'Help save lives by calling on \xf0\x9f\x8c\x8e leaders to prioritize quality, affordable health care for mothers and newborns. Sig\xe2\x80\xa6 https://t.co/7eqn6IMniZ'",0,2809,7643,0
,,,,,,,
serenawilliams,9.66E+17,19-02-2018 14:00,"b'#Ad #Navigator has been part of my story since I was 19. Now, I\xe2\x80\x99m excited to be part of theirs. https://t.co/tQoDdWdIjZ'",4,259,2520,4
,,,,,,,
serenawilliams,9.65E+17,16-02-2018 21:26,b'@alexisohanian @BlackGirlsCode @InitializedCap You are already doing such great things with @InitializedCap so glad you made the move!!!',4,18,169,4
,,,,,,,
serenawilliams,9.65E+17,16-02-2018 21:22,b'RT @alexisohanian: That moment when the @BlackGirlsCode students we invited to the @InitializedCap private screening of the #BlackPanther p\xe2\x80\xa6',0,870,0,0
,,,,,,,
serenawilliams,9.65E+17,16-02-2018 14:55,b'Last night a group of girls from @blackgirlscode to watch black panther with me in a private\xe2\x80\xa6 https://t.co/lBHqXKV7pG',-4,336,2627,0
,,,,,,,
serenawilliams,9.64E+17,15-02-2018 18:36,"b""She wanted to dress 80's https://t.co/ggxUsn6jyL""",0,101,1497,0
,,,,,,,
serenawilliams,9.64E+17,14-02-2018 05:34,b'So happy for you @shaunwhite',4,126,1980,4
,,,,,,,
serenawilliams,9.64E+17,14-02-2018 03:16,b'I just realized I get to go into toys r us again!',0,260,5060,0
,,,,,,,
serenawilliams,9.63E+17,11-02-2018 14:40,"b""1000 career match wins. Congrats @venuseswilliams that's crazy impressive. Love you.\xe2\x80\xa6 https://t.co/hwKZGeon82""",4,886,8090,4
,,,,,,,
serenawilliams,9.62E+17,09-02-2018 21:46,b'Just posted a photo https://t.co/9eCCmhkhF4',0,105,1289,0
,,,,,,,
serenawilliams,9.62E+17,08-02-2018 23:24,b'@alexisohanian Buh bye',0,4,73,0
,,,,,,,
serenawilliams,9.61E+17,07-02-2018 14:00,"b'RT @SurveyMonkey: Our new study with @LeanInOrg found that in the wake of the #MeToo movement, almost 50% of male managers are uncomfortabl\xe2\x80\xa6'",4,71,0,4
,,,,,,,
serenawilliams,9.61E+17,07-02-2018 00:00,b'@alexisohanian Like Jr.!',0,9,126,0
,,,,,,,
serenawilliams,9.61E+17,06-02-2018 23:57,"b""Soooo can I talk to someone about Publix non breaded chicken wings? Ummmm how is it they are so good. I'm just sitt\xe2\x80\xa6 https://t.co/x2dSax5ZLH""",4,307,3823,4
,,,,,,,
serenawilliams,9.61E+17,06-02-2018 16:36,"b'Sexual harassment is about power. To combat it, we need more women in leadership-and that means more men stepping u\xe2\x80\xa6 https://t.co/PWBPBl0kE6'",4,456,2221,0
,,,,,,,
serenawilliams,9.59E+17,01-02-2018 15:51,"b""Olympia Ohanian, at match point, championship point, even without her shoes she's hard to beat.\xe2\x80\xa6 https://t.co/yMNuyksf93""",-4,341,3455,4
,,,,,,,
serenawilliams,9.58E+17,29-01-2018 15:40,b'U must Slide for more pics!!! Competed in a Spartan race this weekend with SOME of my kryptonian\xe2\x80\xa6 https://t.co/QaHDhR6Uph',4,101,1150,4
,,,,,,,
serenawilliams,9.58E+17,28-01-2018 15:18,b'When u forget to grow up https://t.co/E6KyzF7SXF',0,153,2150,0
,,,,,,,
serenawilliams,9.57E+17,27-01-2018 14:19,b'Welcome home momma https://t.co/U2mh7sF1hX',4,195,2972,0
,,,,,,,
serenawilliams,9.57E+17,27-01-2018 12:20,b'I got too nervous to watch but woke up to @CaroWozniacki new number one and aussie open champ. So awesome. So happy\xe2\x80\xa6 https://t.co/Nd68tI1jKR',4,5570,36746,4
,,,,,,,
serenawilliams,9.57E+17,25-01-2018 14:55,b'Just posted a photo https://t.co/4dpnEuLkc8',0,76,943,0
,,,,,,,
serenawilliams,9.56E+17,24-01-2018 13:43,"b""@TennysSandgren I don't need or want one. But there is a entire group of people that deserves an apology. I cant lo\xe2\x80\xa6 https://t.co/wxQUgAtDbY""",0,1714,4332,4
,,,,,,,
serenawilliams,9.56E+17,24-01-2018 12:54,b'@vika7 Love him. His sister wants to meet him asap',4,180,1516,0
,,,,,,,
serenawilliams,9.56E+17,24-01-2018 12:52,"b""@kmcme17 Don't lay all the way down keep your abs engaged \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f""",-4,6,33,0
,,,,,,,
serenawilliams,9.56E+17,24-01-2018 02:55,b'@Jamie_Hampton Love you more. Also I miss you.  \xf0\x9f\x98\xaa\xf0\x9f\x98\xaa',4,43,241,4
,,,,,,,
serenawilliams,9.56E+17,24-01-2018 02:31,b'Turns channel',0,1211,6647,0
,,,,,,,
serenawilliams,9.56E+17,23-01-2018 22:29,"b'RT @Kaepernick7: The Queen, my sister @serenawilliams asked that I donate to Imagine LA,an org mobilizing the community to end the cycle of\xe2\x80\xa6'",0,1618,0,0
,,,,,,,
serenawilliams,9.56E+17,23-01-2018 21:55,"b""@kmcme17 Can I return something if I don't like it? \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f miss u""",0,1,5,0
,,,,,,,
serenawilliams,9.56E+17,23-01-2018 02:00,b'@kmcme17 I live under a oak tree',4,4,13,0
,,,,,,,
serenawilliams,9.55E+17,21-01-2018 22:29,"b""We were watching football together but she got tired and had to take a nap. I miss her. Can't\xe2\x80\xa6 https://t.co/JkzelrRDSV""",-4,97,1504,0
,,,,,,,
serenawilliams,9.55E+17,21-01-2018 18:25,b'@kmcme17 Miss u!!! \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x98\x98\xf0\x9f\x98\x98',0,0,4,0
,,,,,,,
serenawilliams,9.55E+17,21-01-2018 18:25,b'@kmcme17 For a sec I thought that was you lol',4,2,7,0
,,,,,,,
serenawilliams,9.55E+17,21-01-2018 13:56,"b'Excited to be playing in the first ever Tie Break Tens tournament to be played in the US. Madison Square Garden, 5t\xe2\x80\xa6 https://t.co/0j0pboaUKQ'",4,877,5600,4
,,,,,,,
serenawilliams,9.55E+17,21-01-2018 04:59,b'@tyrabanks I may like them more \xf0\x9f\x99\x88\xf0\x9f\x99\x88\xf0\x9f\x99\x88\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f',4,6,139,4
,,,,,,,
serenawilliams,9.55E+17,20-01-2018 18:33,"b""I've conquered a lot of things... blood clots in my lungs- twice... knee and foot surgeries... winning grand slams\xe2\x80\xa6 https://t.co/Mm22jGiPDd""",4,6537,56934,4
,,,,,,,
serenawilliams,9.55E+17,20-01-2018 00:44,b'@RenasArmy \xf0\x9f\x98\xb6',0,273,840,0
,,,,,,,
serenawilliams,9.54E+17,19-01-2018 14:03,"b'This video literally gave me chills, I am so excited to watch Nigeria compete in the winter Olympics bobsledding ra\xe2\x80\xa6 https://t.co/8jJi5psYBX'",4,11461,23588,4
,,,,,,,
serenawilliams,9.54E+17,18-01-2018 20:07,b'My other job surveymonkey https://t.co/Hz1IfSy0dp',-4,59,522,-4
,,,,,,,
serenawilliams,9.54E+17,18-01-2018 16:17,"b'She\'s like ""Mommmmmmmmmmm my friends are looking"" #freshfaces https://t.co/n81a3pEIay'",0,171,2306,0
,,,,,,,
serenawilliams,9.53E+17,16-01-2018 14:39,b'Just how I look at her https://t.co/j3LThWxEDp',0,123,1442,0
,,,,,,,
serenawilliams,9.53E+17,15-01-2018 23:39,b'@andy_murray @AustralianOpen I know all about it!!! \xf0\x9f\x98\xaa\xf0\x9f\x98\xaa\xf0\x9f\x98\xaa\xf0\x9f\x98\xaa',0,174,1819,0
,,,,,,,
serenawilliams,9.53E+17,15-01-2018 14:43,b'I didn\xe2\x80\x99t expect that sharing our family\xe2\x80\x99s story of Olympia\xe2\x80\x99s birth and all of complications after giving birth... https://t.co/hgwjXKIBTW',0,426,2894,0
,,,,,,,
serenawilliams,9.52E+17,12-01-2018 15:27,b'Just posted a photo https://t.co/pZyTVANhtN',0,94,1192,0
,,,,,,,
serenawilliams,9.52E+17,11-01-2018 22:29,b'The best thing about my @voguemagazine cover was the one before it. January issue with the\xe2\x80\xa6 https://t.co/GbvAJVKHI3',4,134,1134,0
,,,,,,,
serenawilliams,9.52E+17,11-01-2018 19:34,b'One should not have be be considered  of being let go during parental leave. U never know what families go through.\xe2\x80\xa6 https://t.co/VjTX6jTmre',0,961,6371,0
,,,,,,,
serenawilliams,9.52E+17,11-01-2018 19:33,b'RT @alexisohanian: So proud of my @voguemagazine cover baby and cover wifey.\n\nhttps://t.co/H4CoTL2E7F https://t.co/nKfbEwPWGE',4,425,0,4
,,,,,,,
serenawilliams,9.52E+17,11-01-2018 19:33,b'@itsgabrielleu Yes please and soon?????',0,7,96,0
,,,,,,,
serenawilliams,9.52E+17,11-01-2018 19:32,"b'RT @alexisohanian: This ordeal, as well as the weeks and months after, has made me an even bigger advocate for paid parental leave.\n\nhttps:\xe2\x80\xa6'",0,832,0,0
,,,,,,,
serenawilliams,9.52E+17,11-01-2018 19:32,b'@newrob1999 @alexisohanian Ugh so sorry',-4,7,52,0
,,,,,,,
serenawilliams,9.52E+17,11-01-2018 19:30,b'RT @voguemagazine: This is @SerenaWilliams like you\xe2\x80\x99ve never seen her before. Our February cover star opens up about her recent health scar\xe2\x80\xa6',0,597,0,0
,,,,,,,
serenawilliams,9.52E+17,11-01-2018 18:43,b'@jrridinger @voguemagazine Love you',4,3,6,4
,,,,,,,
KingJames,9.67E+17,24-02-2018 16:23,b'Work out Bronny!!! Let\xe2\x80\x99s keep improving and making others better. #JamesGang\xf0\x9f\x91\x91 https://t.co/khNmb6adJp',4,10784,63056,4
,,,,,,,
